id,Company Name,Company Url,Twitter Url,Year Founded,Industries,Funding,City,Street Address
0,Republic,https://republic.co/,http://twitter.com/joinrepublic,2016-01-01T00:00:00Z,"['Blockchain', 'Fintech', 'Cryptocurrency', 'Web3']","[{'funding_amt': 150000000, 'funding_cat': 'funding', 'funding_date': '2021-10-20', 'funding_type': 'Series B', 'funding_investors': 'Valor Equity Partners\r\nGalaxy Digital\r\nBroadhaven Ventures\r\nProsus NV\r\n', 'funding_target_id': 87062, 'funding_revision_id': 87045}]",New York,149 E 23rd St
1,Pinata,https://www.pinata.cloud/,https://twitter.com/pinatacloud,2018-01-01T00:00:00Z,"['Blockchain', 'Cloud', 'Enterprise Web', 'Software', 'Web3']","[{'funding_amt': 3500000, 'funding_cat': '', 'funding_date': '2021-04-01', 'funding_type': 'Seed', 'funding_investors': 'Greylock, Offline', 'funding_target_id': 1491513, 'funding_revision_id': 1423619}, {'funding_amt': 18000000, 'funding_cat': '', 'funding_date': '2022-08-09', 'funding_type': 'Series A', 'funding_investors': 'Greylock, Pantera, Volt Capital, OpenSea, Alchemy', 'funding_target_id': 1491514, 'funding_revision_id': 1423620}]",,
2,Sorare,https://sorare.com,,2018-01-01T00:00:00Z,"['Blockchain', 'Gaming', 'Sports', 'NFT', 'Web3']","[{'funding_amt': 680000000, 'funding_cat': '', 'funding_date': '2021-09-20', 'funding_type': 'Series B', 'funding_investors': 'SoftBank, Accel, Bessemer Venture Partners, Benchmark, Headline, Institutional Venture Partners', 'funding_target_id': 411801, 'funding_revision_id': 411721}]",New York,525 Broadway
3,Aptos,http://www.aptoslabs.com,,2021-01-01T00:00:00Z,"['Blockchain', 'Internet of Things', 'Cryptocurrency', 'NFT', 'Web3']","[{'funding_amt': 200000000, 'funding_cat': '', 'funding_date': '2022-03-15', 'funding_type': 'Seed', 'funding_investors': 'a16z Crypto\r\nMulticoin Capital\r\nKatie Haun\r\n3 Arrows Capital\r\nParaFi Capital\r\nIRONGREY\r\nHashed\r\nVariant\r\nTiger Global\r\nBlockTower\r\nFTX Ventures\r\nPaxos\r\nCoinbase', 'funding_target_id': 408595, 'funding_revision_id': 408515}]",New York,
4,Autograph,https://autograph.io,,2021-01-01T00:00:00Z,"['Blockchain', 'Information Technology', 'Sports', 'NFT', 'Web3']",[],,
5,Uniswap Labs,https://uniswap.org/,,2018-01-01T00:00:00Z,"['Blockchain', 'Software', 'Cryptocurrency', 'NFT', 'Web3']","[{'funding_amt': 11000000, 'funding_cat': '', 'funding_date': '', 'funding_type': 'Series A', 'funding_investors': 'USV, Paradigm, Version One, Variant, Parafi Capital, SV Angel, A.Capital', 'funding_target_id': 416731, 'funding_revision_id': 416651}]",New York,
6,Unit 410,https://unit410.com,https://twitter.com/polychainlabs,2018-01-01T00:00:00Z,"['Blockchain', 'Security', 'Software', 'Cryptocurrency', 'Web3']",[],Austin,
7,Fetch.ai,http://www.fetch.ai,,2017-01-01T00:00:00Z,"['Artificial Intelligence', 'Consumer Web', 'Machine Learning', 'Productivity', 'Web3']",[],Austin,
8,"8th Light, Inc.",https://8thlight.com,https://twitter.com/8thlightinc,2006-01-01T00:00:00Z,"['Enterprise Web', 'Professional Services', 'Software', 'Consulting', 'Web3']",[],Chicago,25 East Washington
9,Passbase,https://www.passbase.com/,https://twitter.com/Passbase?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,2018-01-01T00:00:00Z,"['Security', 'Cybersecurity', 'Web3']","[{'funding_amt': 600000, 'funding_cat': '', 'funding_date': '2019-03-15', 'funding_type': 'Pre-seed', 'funding_investors': 'Angel investors from Alphabet, Stanford, Kleiner Perkins, and EY. As well as seed fund investment from Chicago-based Upheaval Investments, and Seedcamp', 'funding_target_id': 420699, 'funding_revision_id': 420619}, {'funding_amt': 3600000, 'funding_cat': '', 'funding_date': '2019-09-25', 'funding_type': 'Seed', 'funding_investors': ' Led by Cowboy Ventures and Eniac Ventures, with participation from Seedcamp and other European investors', 'funding_target_id': 420700, 'funding_revision_id': 420620}, {'funding_amt': 10000000, 'funding_cat': '', 'funding_date': '2021-12-08', 'funding_type': 'Series A', 'funding_investors': 'Led by Costanoa Ventures, with participation from Lakestar, Eniac Ventures, Cowboy Ventures, and Seedcamp', 'funding_target_id': 420701, 'funding_revision_id': 420621}]",Brooklyn,134 N 4th St
10,Paxos,https://paxos.com/careers/,https://twitter.com/paxosglobal,2012-01-01T00:00:00Z,"['Blockchain', 'Fintech', 'Internet of Things', 'Cryptocurrency', 'Web3']","[{'funding_amt': 3300000, 'funding_cat': 'funding', 'funding_date': '2013-11-13', 'funding_type': 'Seed Round', 'funding_investors': 'RRE Ventures, Liberty City Ventures, Jay Jordan, Digital Currency Group, Canaan Partners', 'funding_target_id': 85989, 'funding_revision_id': 85973}, {'funding_amt': 25000000, 'funding_cat': 'funding', 'funding_date': '2015-05-08', 'funding_type': 'Series A', 'funding_investors': 'Liberty City Ventures, RRE Ventures, Jay Jordan, James Pallotta, Blockchain Capital, Solon Mack Capital, Raptor Group', 'funding_target_id': 85990, 'funding_revision_id': 85974}, {'funding_amt': 65000000, 'funding_cat': 'funding', 'funding_date': '2018-05-31', 'funding_type': 'Series B', 'funding_investors': 'RRE Ventures, Liberty City Ventures, Jay Jordan, Digital Currency Group, Canaan Partners', 'funding_target_id': 85991, 'funding_revision_id': 85975}, {'funding_amt': 142000000, 'funding_cat': '', 'funding_date': '2020-12-16', 'funding_type': 'Series C', 'funding_investors': 'Declaration Partners, Mithril Capital, PayPal Ventures, RIT Capital Partners, Ken Moelis, Alua Capital, Senator Investment Group.', 'funding_target_id': 327077, 'funding_revision_id': 326997}, {'funding_amt': 300000000, 'funding_cat': '', 'funding_date': '2021-04-29', 'funding_type': 'Series D', 'funding_investors': 'Oak HC/FT, PayPal, WestCap, Senator, Mithril\r\n\r\nOn July 29, 2021, we also added strategic investors including Bank of America, Coinbase Ventures, Founders Fu', 'funding_target_id': 339670, 'funding_revision_id': 339590}]",New York,Midtown Manhattan
11,Starlight,https://starlight.money/,,2021-01-01T00:00:00Z,"['Blockchain', 'Other', 'Financial Services', 'Cryptocurrency', 'Web3']","[{'funding_amt': 5000000, 'funding_cat': '', 'funding_date': '2022-04-05', 'funding_type': 'Seed', 'funding_investors': 'Abstract Ventures\r\nA* Capital\r\nBoxGroup\r\nSV Angel\r\nPaxos\r\nSouth Park Commons\r\nBrevan Howard', 'funding_target_id': 418235, 'funding_revision_id': 418155}]",New York,25 W 26TH ST
12,Wursta,http://wursta.com,https://www.linkedin.com/company/the-wursta-corporation/mycompany/,2014-01-01T00:00:00Z,"['Cloud', 'Information Technology', 'Productivity', 'Consulting', 'Web3']",[],Austin,1021 East 7th St.
13,Nigh Technologies,https://nigh.com,,2021-01-01T00:00:00Z,"['eCommerce', 'Events', 'Marketing Tech', 'Software', 'Web3']",[],Boulder,1023 Walnut St
14,Frontrunner,https://www.getfrontrunner.com/,,2021-01-01T00:00:00Z,"['Fintech', 'Sports', 'eSports', 'Cryptocurrency', 'Web3']",[],New York,405 Lexington Ave
15,Hang,https://www.hang.xyz/,,,['Web3'],[],Los Angeles,
16,Wildebeest,https://wildebee.st/,,2014-01-01T00:00:00Z,"['Agency', 'Digital Media']",[],,
17,"Lucky Lincoln Gaming, LLC",http://luckylincoln.com/,https://twitter.com/luckylincoln1?lang=en,2013-01-01T00:00:00Z,"['Cannabis', 'Gaming', 'Real Estate', 'Cryptocurrency', 'Web3']",[],Chicago,3945 N. Neenah Avenue
18,trac,https://trac.co/,,2020-01-01T00:00:00Z,"['Blockchain', 'Music', 'Software', 'NFT', 'Web3']","[{'funding_amt': 2500000, 'funding_cat': '', 'funding_date': '2022-04-19', 'funding_type': 'Pre-Seed', 'funding_investors': 'Zrosk Investment Management, AppWorks, InfinityVC, Calm Company Fund, Dapper Labs, Roham Gharegozlou, Siqi Chen', 'funding_target_id': 305336, 'funding_revision_id': 305327}]",Los Angeles,
19,CertiK,https://certik.io,,2018-01-01T00:00:00Z,"['Artificial Intelligence', 'Blockchain']",[],,
20,Invisible Universe,https://www.invisibleuniverse.com/,,,"['Design', 'Web3']",[],Los Angeles,
21,Magic Eden,http://www.magiceden.io/,,2021-01-01T00:00:00Z,['Cryptocurrency'],[],,
22,CreatorDAO,https://creatordao.com/,,,['Web3'],[],Los Angeles,
23,Jadu,,,,[],[],,
24,Zora,,,,[],[],,
25,Stakes,https://playwithstakes.com/about/,,2022-01-01T00:00:00Z,"['Blockchain', 'Social Media', 'Sports', 'Web3']",[],New York City,
